AY,Term,Dept,CourseID,Course,Instructor,A,A-,B,B-,B+,C,C-,C+,D,I,P,Grand Total
,,,ENG325,Digital Literary Studies,1915,,,,,,,,,,,93,93
,,,ENG351,Graphic Novels: Image and Text,1916,,,,,,,,,,,44,44
,,,,,1917,,,,,,,,,,,47,47
,,,ENG365,Speculative Fiction Studies,1918,,,,,,,,,,,46,46
,,,ENG512,Victorian Fiction,1919,,,,,,,,,,,13,13
,,FineArts,FAR100,Concert Band,1920,,,,,,,,,,,31,31
,,,FAR110,Wind Ensemble,1921,,,,,,,,,,,50,50
,,,FAR120,String Orchestra,1922,,,,,,,,,,,18,18
,,,FAR130,Chamber Strings,1923,,,,,,,,,,,20,20
,,,FAR200,Concert Choir,1924,,,,,,,,,,,12,12
,,,FAR210,Chamber Choir,1925,,,,,,,,,,2,25,27
,,,FAR300,Music Appreciation,1926,,,,,,,,,,,16,16
,,,FAR402,Art and Design,1927,,,,,,,,,,,20,20
,,,FAR411,Observational Drawing,1928,,,,,,,,,,,19,19
,,,FAR416,Digital Photography,1929,,,,,,,,,,,20,20
,,,FAR435,Printmaking,1930,,,,,,,,,,,15,15
,,HistorySS,HSS100,American Studies,1931,,,,,,,,,,2,60,62
,,,,,1932,,,,,,,,,,1,43,44
,,,HSS202,The World in the Twentieth Century,1933,,,,,,,,,,,96,96
,,,,,1934,,,,,,,,,,,46,46
,,,,,1935,,,,,,,,,,4,60,64
,,,HSS325,Modern Economics,1936,,,,,,,,,,,71,71
,,,HSS335,America in the Contemporary World,1937,,,,,,,,,,,74,74
,,,HSS342,History of Biology,1938,,,,,,,,,,,22,22
,,,HSS352,History of Technology and Culture,1939,,,,,,,,,,,43,43
,,,HSS361,US Government and the Constitution,1940,,,,,,,,,,,22,22
,,MathCS,CS100,Computer Science Inquiry,1941,,,,,,,,,,1,33,34
,,,,,1942,,,,,,,,,,,37,37
,,,,,1943,,,,,,,,,,,40,40
,,,CS205,Object Oriented Programming,1944,,,,,,,,,,,33,33
,,,CS305,Advanced Programming,1945,,,,,,,,,,,35,35
,,,CS335,Advanced Web Technologies,1946,,,,,,,,,,,10,10
,,,CS422,CS Seminar: UNIX/Linux and Cybersecurity,1947,,,,,,,,,,,15,15
,,,MAT110,Mathematical Investigations I/II,1948,,,,,,,,,,,19,19
,,,MAT122,Mathematical Investigations II,1949,,,,,,,,,,1,16,17
,,,MAT132,Mathematical Investigations III,1950,,,,,,,,,,,22,22
,,,,,1951,,,,,,,,,,,41,41
,,,,,1952,,,,,,,,,,,38,38
,,,MAT142,Mathematical Investigations IV,1953,,,,,,,,,,1,17,18
,,,,,1954,,,,,,,,,,,17,17
,,,,,1955,,,,,,,,,,,31,31
,,,MAT222,AB Calculus II,1956,,,,,,,,,,,36,36
,,,MAT312,BC Calculus I,1957,,,,,,,,,,,34,34
,,,,,1958,,,,,,,,,,2,26,28
,,,,,1959,,,,,,,,,,,23,23
,,,MAT322,BC Calculus II,1960,,,,,,,,,,1,19,20
,,,,,1961,,,,,,,,,,,30,30
,,,MAT332,BC Calculus III,1962,,,,,,,,,,,18,18
,,,,,1963,,,,,,,,,,,36,36
,,,,,1964,,,,,,,,,,1,39,40
,,,MAT362,BC Calculus I/II,1965,,,,,,,,,,,24,24
,,,MAT412,Statistical Experimentation & Inference,1966,,,,,,,,,,,35,35
,,,MAT435,Discrete Mathematics,1967,,,,,,,,,,2,38,40
